Designator,Mid X,Mid Y,Rotation,Layer
AL1,106.2,-140.675,90.0,top
AL10,137.7,-140.675,90.0,top
AL11,141.2,-140.675,90.0,top
AL12,144.7,-140.675,90.0,top
AL13,148.2,-140.675,90.0,top
AL14,151.7,-140.675,90.0,top
AL15,155.2,-140.675,90.0,top
AL16,158.7,-140.675,90.0,top
AL17,162.2,-140.675,90.0,top
AL18,165.7,-140.675,90.0,top
AL19,169.2,-140.675,90.0,top
AL2,109.7,-140.675,90.0,top
AL20,172.7,-140.675,90.0,top
AL21,176.2,-140.675,90.0,top
AL22,179.7,-140.675,90.0,top
AL23,183.2,-140.675,90.0,top
AL24,186.7,-140.675,90.0,top
AL3,113.2,-140.675,90.0,top
AL4,116.7,-140.675,90.0,top
AL5,120.2,-140.675,90.0,top
AL6,123.7,-140.675,90.0,top
AL7,127.2,-140.675,90.0,top
AL8,130.7,-140.675,90.0,top
AL9,134.2,-140.675,90.0,top
BUZZER1,160.53,-82.85,90.0,top
C1,137.145,-69.475,180.0,top
C10,181.0,-85.3,0.0,top
C11,181.0,-84.05,0.0,top
C12,188.4,-89.575,0.0,top
C14,104.75,-105.95,90.0,top
C15,192.375,-131.325,270.0,top
C16,97.75,-136.0,270.0,top
C18,84.6,-138.18,90.0,top
C19,84.25,-123.85,270.0,top
C2,137.17,-70.8,180.0,top
C20,99.75,-124.125,270.0,top
C21,204.31,-140.175,270.0,top
C22,204.37,-136.455,90.0,top
C23,100.44,-139.48,90.0,top
C24,198.65,-102.425,180.0,top
C25,190.025,-101.3,90.0,top
C26,177.45,-86.2,0.0,top
C28,186.075,-111.400001,90.0,top
C29,184.0,-111.400001,90.0,top
C3,178.055,-78.08,270.0,top
C30,185.95,-105.525,270.0,top
C31,185.95,-102.05,90.0,top
C32,103.15,-141.45,90.0,top
C33,188.95,-141.325,90.0,top
C34,191.2,-137.05,270.0,top
C35,133.525,-71.475,90.0,top
C36,157.525,-70.2,270.0,top
C37,187.75,-103.725,270.0,top
C38,193.442491,-115.100857,270.0,top
C39,193.325,-104.98,270.0,top
C4,173.93,-78.49,180.0,top
C40,183.846358,-103.053032,90.0,top
C41,196.8,-106.65,270.0,top
C42,199.825,-108.675,0.0,top
C43,195.025,-103.3,90.0,top
C44,189.7,-117.025,180.0,top
C45,195.025,-106.8,270.0,top
C5,111.35,-67.3,180.0,top
C6,179.35,-69.125,45.0,top
C7,113.220635,-70.913954,180.0,top
C8,114.7,-73.04,180.0,top
C9,126.85,-77.15,90.0,top
CARD1,201.775,-118.025,90.0,top
CN1,97.425,-87.385,180.0,top
D1,203.5,-104.735,270.0,top
D10,176.78,-76.68,270.0,top
D11,203.65,-99.35,270.0,top
D12,193.25,-89.075,90.0,top
D13,200.975,-96.175,0.0,top
D14,119.0,-119.685,270.0,top
D15,202.2,-106.95,270.0,top
D16,185.875,-65.75,270.0,top
D17,182.45,-65.225,90.0,top
D18,182.875,-70.85,270.0,top
D19,178.73,-75.42,90.0,top
D2,119.37,-70.575,90.0,top
D20,201.8,-102.9,90.0,top
D3,117.75,-70.6,90.0,top
D4,113.9,-68.55,0.0,top
D5,185.7,-62.075,180.0,top
D6,174.31,-70.8,90.0,top
D7,175.78,-70.8,90.0,top
D8,172.1,-70.8,90.0,top
D9,193.85,-96.175,0.0,top
J1,119.0,-64.35,180.0,top
J11,187.34,-131.055,0.0,top
J12,191.489848,-81.25,0.0,top
J13,204.189848,-81.25,0.0,top
J14,129.25,-79.73,90.0,top
J15,174.2,-83.13,270.0,top
J2,175.5,-64.35,180.0,top
J3,173.37,-131.055,0.0,top
J4,126.38,-131.055,0.0,top
J5,85.255,-81.25,0.0,top
J6,97.97,-81.25,0.0,top
J7,92.875,-63.5,0.0,top
J8,199.109848,-63.5,0.0,top
J9,155.59,-131.055,0.0,top
L1,186.05,-115.4,180.0,top
L2,194.825,-111.395001,270.0,top
L3,190.5,-107.675,180.0,top
LED1,113.6,-119.575,270.0,top
P1,197.545,-89.7845,180.0,top
P2,108.88,-105.68,90.0,top
P3,207.4925,-87.6475,90.0,top
Q1,123.65,-78.115,270.0,top
Q10,197.425,-99.25,180.0,top
Q2,123.675,-72.0125,0.0,top
Q3,174.405,-77.315,0.0,top
Q5,163.7,-77.32,0.0,top
Q7,193.775,-99.35,0.0,top
Q8,201.475,-99.325,180.0,top
Q9,184.375,-98.5,0.0,top
R1,137.145,-72.0,180.0,top
R10,114.7,-75.89,180.0,top
R11,122.875,-74.775,0.0,top
R12,122.85,-75.675,0.0,top
R13,124.95,-74.225,0.0,top
R14,125.9,-77.15,90.0,top
R15,125.9,-79.125,90.0,top
R16,126.1,-71.75,90.0,top
R17,126.85,-79.125,90.0,top
R18,105.625,-107.925,0.0,top
R19,192.575,-117.425,0.0,top
R2,167.58,-80.79,0.0,top
R20,112.55,-116.15,90.0,top
R21,114.7,-116.15,90.0,top
R22,118.1,-122.35,90.0,top
R23,93.5505,-106.2845,0.0,top
R24,113.625,-116.15,90.0,top
R25,188.975,-97.95,180.0,top
R26,190.925,-92.35,90.0,top
R27,86.59,-137.4,180.0,top
R28,86.59,-138.71,180.0,top
R29,86.38,-124.6,180.0,top
R3,120.5,-70.55,270.0,top
R30,86.43,-123.225,180.0,top
R31,97.6,-124.75,0.0,top
R32,97.625,-123.4,0.0,top
R33,206.38,-140.975,180.0,top
R34,206.38,-139.375,180.0,top
R35,206.445,-135.65,180.0,top
R36,206.45,-137.25,180.0,top
R37,98.474,-138.68,0.0,top
R38,98.47,-140.29,0.0,top
R39,105.95,-104.95,90.0,top
R4,116.6,-70.6,270.0,top
R40,84.15,-71.85,0.0,top
R41,192.175,-135.425,270.0,top
R42,166.05,-77.7,180.0,top
R43,179.95,-86.4,0.0,top
R44,190.25,-137.05,270.0,top
R45,171.8,-81.5,90.0,top
R46,193.2,-102.55,270.0,top
R47,84.15,-73.0,0.0,top
R48,201.75,-101.375,0.0,top
R49,83.5,-84.35,270.0,top
R5,172.23,-77.325,180.0,top
R50,193.6,-74.25,0.0,top
R51,193.6,-75.3,0.0,top
R52,186.75,-84.075,225.0,top
R53,190.95,-101.0,270.0,top
R54,203.9,-102.15,270.0,top
